Experiment,Dataset,Records,Method,Parallelism,Run,Execution_Time,Throughput
Dataset Scaling,10K,10000,Sequential Python,1,1,0.04784729999664705,208998.2088999956
Dataset Scaling,10K,10000,Sequential Python,1,2,0.04753989999881014,210349.62211216864
Dataset Scaling,10K,10000,Sequential Python,1,3,0.059110900008818135,169173.5364967917
Dataset Scaling,10K,10000,Sequential Python,1,4,0.05669339999440126,176387.37491467345
Dataset Scaling,10K,10000,Sequential Python,1,5,0.06867549999151379,145612.33629512266
Dataset Scaling,10K,10000,Spark,2,1,1.4158617999928538,7062.836217525236
Dataset Scaling,10K,10000,Spark,2,2,1.4235356999997748,7024.762357559127
Dataset Scaling,10K,10000,Spark,2,3,1.3939209000091068,7174.0082238057175
Dataset Scaling,10K,10000,Spark,2,4,1.3706355999893276,7295.885208349954
Dataset Scaling,10K,10000,Spark,2,5,1.418942899996182,7047.499938177151
Dataset Scaling,100K,100000,Sequential Python,1,1,0.4732802000071388,211291.3238256991
Dataset Scaling,100K,100000,Sequential Python,1,2,0.5916075999994064,169030.9590345025
Dataset Scaling,100K,100000,Sequential Python,1,3,0.6355032999999821,157355.59516371167
Dataset Scaling,100K,100000,Sequential Python,1,4,0.6005188000126509,166522.68005247018
Dataset Scaling,100K,100000,Sequential Python,1,5,0.5978300999995554,167271.6044241907
Dataset Scaling,100K,100000,Spark,2,1,2.837573299999349,35241.380372455205
Dataset Scaling,100K,100000,Spark,2,2,2.8556024999998044,35018.87955344165
Dataset Scaling,100K,100000,Spark,2,3,2.8356198000110453,35265.658675260514
Dataset Scaling,100K,100000,Spark,2,4,2.813415700002224,35543.98306653401
Dataset Scaling,100K,100000,Spark,2,5,2.553240699999151,39165.91177636846
Dataset Scaling,500K,500000,Sequential Python,1,1,2.94147749998956,169982.6022812599
Dataset Scaling,500K,500000,Sequential Python,1,2,3.1111507000023266,160712.24065090323
Dataset Scaling,500K,500000,Sequential Python,1,3,2.8592889999999898,174868.6474154945
Dataset Scaling,500K,500000,Sequential Python,1,4,3.124372400008724,160032.1395742082
Dataset Scaling,500K,500000,Sequential Python,1,5,3.162015699999756,158126.98210196698
Dataset Scaling,500K,500000,Spark,2,1,6.569301900002756,76111.58805166044
Dataset Scaling,500K,500000,Spark,2,2,6.9929652999999234,71500.42629269238
Dataset Scaling,500K,500000,Spark,2,3,6.846118099987507,73034.08920172037
Dataset Scaling,500K,500000,Spark,2,4,6.819371500008856,73320.53987663683
